,Artist,Total Views,Total de Inscritos,Avg
158,Wisin & Yandel,"5,158.6",1400.0,1.874
159,Sean Paul,"5,116.4",1100.0,1.478
160,G-Eazy,"5,114.2",800.0,0.918
161,Akon,"5,107.6",900.0,1.823
162,Camilo,"5,094.4",1400.0,1.379
163,Jessie J,"5,083.8",900.0,0.657
164,Madonna,"5,062.4",1100.0,1.758
165,Lil Wayne,"5,050.1",800.0,1.139
166,Mohamed Ramadan,"5,007.8",800.0,0.84
167,Carlos Vives,"4,959.3",600.0,1.117
168,Tyga,"4,941.1",700.0,1.004
169,Whitney Houston,"4,918.7",1000.0,1.894
170,Kygo,"4,910.1",1100.0,1.003
171,Hillsong Worship,"4,831.7",1000.0,2.158
172,Macklemore & Ryan Lewis,"4,823.8",800.0,0.624
173,Girls' Generation,"4,708.2",1000.0,0.723
174,Aventura,"4,707.8",1600.0,2.137
175,Jul,"4,703.4",400.0,1.751
176,Khalid,"4,662.6",1000.0,0.885
177,LMFAO,"4,657.4",500.0,0.545
178,Jesse & Joy,"4,655.9",1000.0,1.044
179,Plan B,"4,624.1",1300.0,1.252
180,Maná,"4,607.0",1400.0,1.432
181,Flo Rida,"4,604.6",1000.0,0.826
182,Machine Gun Kelly,"4,552.1",1000.0,1.214
183,Grupo Firme,"4,523.1",1400.0,3.737
184,ZAYN,"4,503.5",500.0,0.863
185,Simone & Simaria,"4,482.7",900.0,0.859
186,Sech,"4,477.6",1100.0,1.103
187,Doja Cat,"4,476.9",1500.0,2.264
188,Rahat Fateh Ali Khan,"4,475.0",1000.0,1.743
189,Adexe & Nau,"4,462.8",800.0,0.425
190,Usher,"4,458.7",1300.0,1.214
191,Nirvana,"4,453.9",700.0,1.375
192,Lil Pump,"4,440.7",1100.0,0.306
193,Jubin Nautiyal,"4,428.7",600.0,1.269
194,Saad Lamjarred,"4,331.2",1000.0,0.966
195,Kanye West,"4,329.4",1500.0,0.996
196,Pablo Alborán,"4,326.3",1100.0,1.037
197,Silvestre Dangond,"4,290.6",700.0,0.949
198,Rosalía,"4,287.7",600.0,2.247
199,Kenshi Yonezu,"4,252.9",1200.0,1.49
200,Stray Kids,"4,250.8",800.0,3.801
201,El Chombo,"4,197.4",100.0,1.391
202,Rammstein,"4,193.3",1200.0,1.706
203,Illslick,"4,188.8",900.0,1.273
204,Backstreet Boys,"4,175.1",900.0,1.484
205,Meet Bros,"4,173.8",1200.0,1.075
206,Elissa,"4,124.0",600.0,1.859
207,Kevin Roldan,"4,076.2",1100.0,1.026
208,Pop Smoke,"4,065.6",800.0,1.665
209,Gorillaz,"4,064.4",1000.0,1.143
210,Harry Styles,"4,049.7",900.0,2.265
211,Passenger,"4,033.4",100.0,0.622
212,Morat,"4,011.3",800.0,2.382
213,Dhanush,"4,002.0",500.0,1.679
214,Hussain Al Jassmi,"3,984.0",700.0,1.301
215,Zion & Lennox,"3,964.3",700.0,1.168
216,Rae Sremmurd,"3,933.3",900.0,0.364
217,Hungria Hip Hop,"3,866.4",1300.0,1.544
218,Halsey,"3,864.1",800.0,0.908
219,NCT,"3,809.6",900.0,1.172
220,Monkan Kankoon,"3,792.6",1000.0,1.792
221,Atif Aslam,"3,782.2",900.0,1.01
222,Panic! at the Disco,"3,777.9",600.0,0.484
223,Céline Dion,"3,749.3",1000.0,1.564
224,21 Savage,"3,741.6",800.0,1.098
225,El Alfa,"3,740.9",700.0,1.62
226,Kendrick Lamar,"3,728.1",1200.0,0.854
227,Iggy Azalea,"3,726.6",900.0,0.34
228,Alejandro Fernández,"3,719.5",600.0,1.118
229,TINI,"3,715.3",1300.0,2.175
230,J.Fla,"3,701.8",600.0,0.35
231,La Adictiva Banda San José de Mesillas,"3,687.4",700.0,1.281
232,System of a Down,"3,680.4",800.0,1.07
233,Bryan Adams,"3,668.6",1000.0,1.291
234,Slipknot,"3,656.3",1000.0,1.056
235,Kurt Hugo Schneider,"3,635.2",400.0,0.222
236,Lil Uzi Vert,"3,634.5",800.0,1.267
237,Nour Al Zain,"3,625.1",800.0,0.594
238,Melendi,"3,609.1",400.0,1.148
239,Mon Laferte,"3,606.4",800.0,1.403
240,DaBaby,"3,592.0",700.0,0.759
241,Nickelback,"3,578.9",1100.0,0.761
242,Carlos Rivera,"3,571.3",1100.0,1.224
243,Nelly,"3,570.3",700.0,1.164
244,Chayanne,"3,555.5",1100.0,0.882
245,Yandel,"3,544.3",700.0,1.447
246,Christina Aguilera,"3,523.3",1000.0,0.767
247,Dalex,"3,521.8",800.0,1.137
248,Lil Durk,"3,520.8",300.0,1.983
249,Lindsey Stirling,"3,509.3",800.0,0.569
250,Cali y El Dandee,"3,504.6",700.0,0.716
251,Ariel Camacho y Los Plebes Del Rancho,"3,502.8",800.0,0.585
252,Jonas Blue,"3,495.9",700.0,0.63
253,Yuridia,"3,482.0",700.0,4.551
254,Santa Fe Klan,"3,459.6",600.0,2.638
255,Arctic Monkeys,"3,433.4",600.0,1.03
256,Bruno e Marrone,"3,431.9",500.0,1.091
257,Violetta,"3,428.5",400.0,0.263
258,Young Thug,"3,425.0",800.0,0.934
259,John Legend,"3,419.4",400.0,0.517
260,Bebe Rexha,"3,400.2",500.0,0.546
261,Banda Los Recoditos,"3,399.6",1100.0,0.59
262,Tiësto,"3,393.0",800.0,1.323
263,Melanie Martinez,"3,386.7",1100.0,0.723
264,Christina Perri,"3,366.4",300.0,0.553
265,MC Livinho,"3,359.5",1000.0,0.263
266,Ludmilla,"3,322.0",800.0,2.135
267,Meek Mill,"3,301.2",600.0,0.794
268,Little Big,"3,288.3",800.0,1.179
269,Marco Antonio Solís,"3,277.0",1200.0,1.148
270,Pulcino Pio,"3,270.1",600.0,0.467
271,C-Kan,"3,269.3",700.0,0.713
272,Danny Ocean,"3,264.3",500.0,0.915
273,Seventeen,"3,260.1",300.0,2.311
274,Jhay Cortez,"3,259.3",300.0,1.123
275,Pharrell Williams,"3,258.5",600.0,0.583
276,Evanescence,"3,257.0",600.0,0.836
277,GOT7,"3,241.3",800.0,0.29
278,Green Day,"3,219.4",700.0,0.776
279,Cosculluela,"3,189.6",500.0,0.946
280,Alejandro Sanz,"3,183.5",500.0,0.684
281,Emiway Bantai,"3,168.8",700.0,0.968
282,Pedro Capó,"3,161.3",200.0,0.609
283,Zedd,"3,160.8",1000.0,0.464
284,Stromae,"3,151.2",600.0,0.999
285,Lil Peep,"3,142.8",800.0,0.916
286,LP,"3,122.7",600.0,1.184
287,Vishal Dadlani,"3,122.2",900.0,0.72
288,Alicia Keys,"3,101.6",600.0,0.739
289,Luis Miguel,"3,089.7",800.0,1.244
290,Gucci Mane,"3,047.3",300.0,0.692
291,Abba,"3,045.9",700.0,1.318
292,Khea,"3,010.0",1000.0,0.572
293,Gerardo Ortiz,"2,993.7",900.0,0.564
294,Ciara,"2,980.9",1000.0,0.604
295,James Arthur,"2,980.5",400.0,0.859
296,Naiara Azevedo,"2,973.6",800.0,0.373
297,Gustavo Mioto,"2,969.6",700.0,1.303
298,Tribo da Periferia,"2,968.8",600.0,1.096
299,Armin van Buuren,"2,967.4",400.0,0.677
300,Río Roma,"2,956.2",800.0,0.774
301,Harrdy Sandhu,"2,945.2",700.0,0.666
302,Brytiago,"2,945.0",700.0,0.658
303,Alex Rose,"2,917.0",600.0,1.058
304,Red Velvet,"2,916.9",1200.0,0.585
305,Jay Chou,"2,915.2",400.0,0.773
306,Paramore,"2,911.0",1000.0,0.592
307,Camila,"2,903.8",900.0,0.539
308,French Montana,"2,902.3",300.0,0.62
309,Soolking,"2,899.9",700.0,1.197
310,The Beatles,"2,893.8",900.0,0.956
311,Aviões do Forró,"2,882.5",600.0,0.767
312,Bryant Myers,"2,878.9",1000.0,1.248
313,Bee Gees,"2,854.4",600.0,1.327
314,Ne-Yo,"2,842.2",1000.0,0.729
315,La Oreja de Van Gogh,"2,833.9",500.0,1.126
316,Calle 13,"2,830.0",900.0,0.53
317,Mac Miller,"2,813.7",500.0,0.679
318,Gente De Zona,"2,800.3",400.0,0.489
319,Dr. Dre,"2,799.2",500.0,0.938
320,Udit Narayan,"2,798.2",800.0,0.746
321,La Arrolladora Banda El Limón De René Camacho,"2,784.5",700.0,0.808
322,Five Finger Death Punch,"2,784.1",900.0,0.821
323,Greeicy,"2,775.4",800.0,0.843
324,Kratai Phannipha,"2,770.2",600.0,0.373
325,Aerosmith,"2,761.6",500.0,0.872
326,Zoé,"2,756.3",600.0,0.806
327,MAGIC!,"2,746.5",200.0,0.416
328,Soprano,"2,736.2",1000.0,0.43
329,Zara Larsson,"2,729.6",400.0,0.3
330,Modern Talking,"2,723.0",700.0,1.102
331,La Trakalosa de Monterrey,"2,721.1",700.0,0.424
332,Aya Nakamura,"2,715.2",500.0,0.805
333,Gabriela Rocha,"2,703.2",400.0,0.958
334,Childish Gambino,"2,699.8",600.0,0.693
335,Labanoon,"2,698.7",600.0,0.284
336,L'Algérino,"2,694.4",800.0,0.287
337,Dilsinho,"2,687.0",400.0,0.675
338,Feid,"2,669.1",800.0,6.684
339,The Cranberries,"2,667.0",500.0,0.86
340,Son Tung M-TP,"2,660.6",1100.0,0.614
341,Dimitri Vegas & Like Mike,"2,637.1",300.0,0.286
342,T.I.,"2,632.1",600.0,0.433
343,Ankush Raja,"2,625.1",600.0,1.233
344,Fetty Wap,"2,615.4",700.0,0.327
345,The Lonely Island,"2,603.5",900.0,0.166
346,A$AP Rocky,"2,599.5",400.0,0.699
347,Daft Punk,"2,587.0",500.0,0.734
348,MCs Zaac & Jerry,"2,585.8",800.0,0.227
349,Amr Diab,"2,584.4",300.0,0.412
350,will.i.am,"2,582.0",600.0,0.295
351,Jesús Adrián Romero,"2,577.0",700.0,0.873
352,Fall Out Boy,"2,572.4",600.0,0.415
353,Zé Felipe,"2,553.0",800.0,2.395
354,Robin Schulz,"2,552.6",600.0,0.58
355,Oasis,"2,538.5",700.0,0.597
356,Franco De Vita,"2,537.4",800.0,0.644
357,5 Seconds of Summer,"2,537.0",500.0,0.378
358,YNW Melly,"2,534.2",500.0,0.608
359,Swedish House Mafia,"2,525.6",500.0,0.458
360,Luke Combs,"2,522.2",600.0,1.08
361,Westlife,"2,515.0",600.0,0.838
362,Anne-Marie,"2,514.7",600.0,0.928
363,Ferrugem,"2,511.5",600.0,0.793
364,Jon Z,"2,505.3",500.0,0.966
365,Gloria Trevi,"2,501.3",500.0,0.635
366,Mustafa Ceceli,"2,495.0",700.0,0.696
367,Mamamoo,"2,494.4",400.0,0.615
368,Turma do Pagode,"2,482.8",600.0,0.649
369,Ava Max,"2,479.7",500.0,1.306
370,David Bisbal,"2,450.6",600.0,0.47
371,R. Kelly,"2,449.0",600.0,0.109
372,Felipe Araújo,"2,433.9",600.0,0.584
373,Jay Wheeler,"2,433.5",400.0,1.331
374,Tarkan,"2,430.8",400.0,0.678
375,The Pussycat Dolls,"2,429.5",800.0,0.7
376,Dhvani Bhanushali,"2,403.5",200.0,0.568
377,Polo G,"2,402.3",500.0,0.866
378,Foo Fighters,"2,397.0",600.0,0.531
379,Calum Scott,"2,396.7",400.0,0.695
380,Lukas Graham,"2,395.4",400.0,0.444
381,Trey Songz,"2,390.5",400.0,0.331
382,Miyagi,"2,384.7",400.0,1.486
383,Mau y Ricky,"2,375.8",300.0,0.797
384,Kelly Clarkson,"2,374.7",400.0,0.452
385,Selena,"2,362.7",700.0,0.971
386,Koray Avcı,"2,353.9",700.0,0.25
387,Gera MX,"2,349.8",300.0,1.064
388,Carla Morrison,"2,333.7",500.0,0.901
389,George Michael,"2,330.8",500.0,1.041
390,Sean Kingston,"2,327.0",400.0,0.724
391,Muse,"2,326.4",600.0,0.462
392,Luke Bryan,"2,321.2",700.0,0.352
393,Leningrad,"2,309.3",600.0,0.328
394,Super Junior,"2,295.4",700.0,0.369
395,De La Ghetto,"2,271.5",300.0,0.473
396,YG,"2,265.6",600.0,0.357
397,Roddy Ricch,"2,262.9",600.0,0.659
398,Avenged Sevenfold,"2,262.8",700.0,0.556
399,Carly Rae Jepsen,"2,255.9",200.0,0.31
400,Elton John,"2,250.2",600.0,1.395
401,iKON,"2,247.1",300.0,0.324
402,Alka Yagnik,"2,241.6",600.0,0.701
403,J. Cole,"2,241.4",600.0,0.775
404,Snoop Dogg,"2,233.7",700.0,0.536
405,Rita Ora,"2,229.9",400.0,0.287
406,Disturbed,"2,216.7",300.0,0.639
407,Desiigner,"2,215.5",400.0,0.274
408,Tones and I,"2,212.6",100.0,0.478
409,Gotye,"2,205.0",100.0,0.596
410,Zé Vaqueiro,"2,203.1",700.0,0.993
411,a-ha,"2,202.9",100.0,0.746
412,Diego & Victor Hugo,"2,200.2",700.0,0.64
413,A Boogie wit da Hoodie,"2,191.1",300.0,0.666
414,Logic,"2,184.2",300.0,0.193
415,Juanes,"2,177.1",800.0,0.565
416,Projota,"2,175.8",500.0,0.269
417,Kendji Girac,"2,175.6",800.0,0.47
418,2NE1,"2,166.1",200.0,0.235
419,Piccolo Coro dell'Antoniano,"2,154.6",300.0,0.685
420,Lunay,"2,144.2",600.0,0.448
421,Lil Dicky,"2,138.0",400.0,0.263
422,Rod Stewart,"2,136.7",400.0,1.107
423,Rag'n'Bone Man,"2,131.8",200.0,0.683
424,U2,"2,130.8",500.0,0.708
425,Megan Thee Stallion,"2,129.4",800.0,0.605
426,Hassan Shakosh,"2,121.7",500.0,0.35
427,Tove Lo,"2,116.0",300.0,0.47
428,K-ICM,"2,115.8",500.0,0.152
429,MC Pedrinho,"2,114.4",700.0,0.21
430,Sorriso Maroto,"2,095.7",400.0,0.645
431,The Script,"2,091.4",500.0,0.356
432,Danna Paola,"2,090.3",400.0,0.581
433,Mike Posner,"2,080.0",200.0,0.331
434,Ke$ha,"2,078.3",600.0,0.239
435,Silentó,"2,059.3",100.0,0.128
436,MC Fioti,"2,058.8",100.0,0.218
437,Himesh Reshammiya,"2,052.2",300.0,1.31
438,Amy Winehouse,"2,049.1",400.0,0.684
439,MC Kekel,"2,048.2",600.0,0.101
440,ITZY,"2,035.1",700.0,1.013
441,Tory Lanez,"2,033.1",200.0,0.549
442,Shreya Ghoshal,"2,032.5",500.0,0.67
443,Michel Teló,"2,028.0",200.0,0.264
444,Kane Brown,"2,027.9",300.0,0.57
445,Capital Bra,"2,015.6",200.0,0.287
446,Tierry,"2,015.5",300.0,0.847
447,Zack Knight,"2,014.3",300.0,0.537
448,Andrea Bocelli,"2,013.5",400.0,0.688
449,Nelly Furtado,"2,011.5",400.0,0.658
450,Pabllo Vittar,"1,999.1",500.0,0.253
451,Andra,"1,998.5",400.0,0.198
452,MC Davo,"1,996.0",500.0,0.573
453,Olivia Rodrigo,"1,995.7",500.0,0.973
454,Joey Montana,"1,989.9",200.0,0.166
455,Lorde,"1,989.8",400.0,0.205
456,Eduardo Costa,"1,985.2",400.0,0.541
457,AKB48,"1,984.4",200.0,0.202
458,Skillet,"1,983.4",400.0,0.546
459,Indila,"1,982.0",400.0,0.877
460,Darshan Raval,"1,973.4",400.0,0.537
461,Lucas Lucco,"1,972.6",700.0,0.392
462,YOUNGOHM,"1,969.0",700.0,0.773
463,The Killers,"1,962.1",600.0,0.39
464,blink-182,"1,962.0",500.0,0.45
465,Big Sean,"1,959.9",500.0,0.159
466,Lartiste,"1,954.5",300.0,0.262
467,Cocktail,"1,947.4",700.0,0.378
468,JoJo Siwa,"1,941.6",400.0,0.212
469,Jason Mraz,"1,934.7",500.0,0.34
470,Jessi Uribe,"1,932.0",500.0,0.996
471,Kid Ink,"1,930.9",300.0,0.206
472,Cyndi Lauper,"1,930.7",300.0,0.536
473,Timati,"1,928.6",200.0,0.542
474,Hala Al Turk,"1,923.4",600.0,0.242
475,Laura Pausini,"1,922.2",200.0,0.408
476,Shania Twain,"1,919.2",600.0,0.689
477,Luciano Pereyra,"1,912.0",300.0,0.572
478,Michael Bublé,"1,909.6",500.0,0.325
479,Timbaland,"1,904.9",600.0,0.701
480,Fergie,"1,899.0",600.0,0.395
481,Juan Magan,"1,898.2",500.0,0.242
482,Mohamed Alsalim,"1,897.8",300.0,0.535
483,Banda El Recodo De Cruz Lizárraga,"1,895.6",500.0,0.38
484,Natalia Lafourcade,"1,893.9",500.0,0.793
485,Depeche Mode,"1,890.8",400.0,0.627
486,Balti,"1,890.4",300.0,0.652
487,Imran Khan,"1,888.6",400.0,0.891
488,Alvaro Soler,"1,886.6",400.0,0.312
489,Lewis Capaldi,"1,880.3",400.0,0.999
490,Sabyan,"1,878.8",600.0,0.147
491,Alemán,"1,875.1",300.0,1.049
492,Sin Bandera,"1,866.7",600.0,0.496
493,B Praak,"1,863.1",300.0,0.233
494,Remmy Valenzuela,"1,862.4",600.0,0.442
495,Ceca,"1,861.6",Não Informado,0.352
496,MC Kevin,"1,853.6",400.0,0.625
497,OMI,"1,853.5",300.0,0.276
498,Florida Georgia Line,"1,852.1",500.0,0.206
499,Canserbero,"1,851.4",400.0,0.995
500,Hozier,"1,840.0",200.0,0.551
501,Lil Tjay,"1,835.7",300.0,0.723
502,Ricardo Montaner,"1,829.6",300.0,0.464
503,Radiohead,"1,828.1",200.0,0.791
504,Cristiano Araújo,"1,826.9",600.0,0.213
505,Galantis,"1,825.8",400.0,0.172
506,Niska,"1,825.0",400.0,0.432
507,Paula Fernandes,"1,822.8",300.0,0.443
508,Jason Aldean,"1,819.9",300.0,0.469
509,Palak Muchhal,"1,811.4",300.0,0.472
510,Chris Jeday,"1,803.9",300.0,0.691
511,Roxette,"1,801.6",300.0,0.516
512,Black M,"1,798.1",600.0,0.154
513,(G)I-DLE,"1,797.7",700.0,1.66
514,IU,"1,792.6",600.0,0.392
515,Arash,"1,790.6",400.0,0.57
516,Via Vallen,"1,787.5",300.0,0.084
517,Hailee Steinfeld,"1,782.2",600.0,0.261
518,Three Days Grace,"1,780.4",400.0,0.423
519,Soulja Boy Tell'em,"1,780.1",200.0,0.196
520,PNL,"1,775.6",600.0,0.338
521,Alok,"1,773.2",200.0,0.639
522,Maria Becerra,"1,766.2",600.0,2.345
523,The Game,"1,764.7",500.0,0.38
524,Abraham Mateo,"1,760.9",300.0,0.408
525,Bryson Tiller,"1,760.7",400.0,0.457
526,Blake Shelton,"1,760.6",300.0,0.332
527,AronChupa,"1,758.0",300.0,0.228
528,Eros Ramazzotti,"1,757.6",400.0,0.632
529,James Blunt,"1,757.1",200.0,0.429
530,Naughty Boy,"1,751.2",200.0,0.214
531,Marcos & Belutti,"1,745.3",400.0,0.265
532,SHINee,"1,735.6",200.0,0.27
533,R.E.M.,"1,734.9",200.0,0.571
534,2 Chainz,"1,728.7",500.0,0.278
535,Vremya i Steklo,"1,721.8",500.0,0.138
536,Lata Mangeshkar,"1,720.7",600.0,0.449
537,İrem Derici,"1,717.3",300.0,0.319
538,Scorpions,"1,715.3",200.0,0.444
539,Raymix,"1,712.5",300.0,0.379
540,ONE OK ROCK,"1,711.7",300.0,0.38
541,Zouhair Bahaoui,"1,705.7",300.0,0.489
542,Raí Saia Rodada,"1,702.9",400.0,0.485
543,Rick Astley,"1,697.5",200.0,0.504
544,My Chemical Romance,"1,689.8",700.0,0.511
545,Rick Ross,"1,687.2",300.0,0.342
546,B.o.B,"1,687.1",200.0,0.3
547,Korn,"1,686.0",300.0,0.492
548,Lil Skies,"1,683.5",400.0,0.184
549,El Komander,"1,679.2",300.0,0.26
550,Naps,"1,671.7",500.0,0.472
551,Nella Kharisma,"1,671.3",500.0,0.135
552,Shaggy,"1,663.3",600.0,0.425
553,Noriel,"1,661.3",300.0,0.404
554,Bruce Springsteen,"1,653.9",300.0,0.626
555,"Earth, Wind & Fire","1,649.2",300.0,0.563
556,Foster The People,"1,645.9",300.0,0.373
557,3 Doors Down,"1,641.7",300.0,0.398
558,Boney M.,"1,637.7",300.0,1.038
